ID,Respondent Profile (Hidden),1. How did you hear about AI Janala?,2. Which language did you use in the chat?,3. What device were you on?,4. What did you ask about?,5. How clear was the answer you got?,6. How much did you trust the answer was accurate?,"7. Was anything confusing, wrong, or missing?",8. Would you recommend this to a friend or family member?,9. What is one thing that would make this more useful for you?,10. Age range and district or city
51,Student,LinkedIn,Both,Phone,AI and jobs,5,5,"No, it was helpful.",Yes,Offline support through SMS,"20-25, Cumilla"
52,Banker,LinkedIn,English,Phone,AI and jobs,4,3,Missed some local Bangladesh context.,Maybe,Offline support through SMS,"46-55, Dhaka"
53,Banker,LinkedIn,Both,Phone,AI and jobs,4,3,Missed some local Bangladesh context.,Maybe,Make it faster,"46-55, Dhaka"
54,BCS Cadre,Facebook/WhatsApp,Both,Phone,AI in government or policy,3,4,A bit confusing on specific government policies.,Maybe,Offline support through SMS,"28-35, Rangpur"
55,Banker,Other,Both,Phone,AI in government or policy,4,2,,Yes,Include more local examples,"25-35, Dhaka"
56,Student,Facebook/WhatsApp,Both,Phone,What AI is,4,5,Missed some local Bangladesh context.,Yes,Include more local examples,"20-25, Bogura"
57,Banker,Other,Both,Laptop or desktop,Something else (Banking automation),4,3,,Yes,Include more local examples,"46-55, Dhaka"
58,Student,Friend or family,Both,Phone,What AI is,5,3,,Yes,Add voice input in Bengali,"19-23, Cumilla"
59,Small Business Owner,Facebook/WhatsApp,Bengali,Phone,Something else (How to grow business),2,4,Answers were a bit too long.,Yes,Add voice input in Bengali,"25-35, Rangpur"
60,Student,University,Bengali,Phone,AI and jobs,4,3,,Yes,Include more local examples,"20-25, Rajshahi"
61,IT Professional,LinkedIn,English,Laptop or desktop,What AI is,3,3,A bit confusing on specific government policies.,Yes,API access,"22-30, Dhaka"
62,Small Business Owner,Facebook/WhatsApp,Bengali,Laptop or desktop,Something else (Marketing),5,3,Missed some local Bangladesh context.,Yes,Make it faster,"50+, Dhaka"
63,Housewife,Other,Bengali,Phone,What AI is,3,5,Missed some local Bangladesh context.,Maybe,Better regional language understanding,"36-50, Sylhet"
64,IT Professional,LinkedIn,English,Laptop or desktop,Something else (Code generation),5,2,,Yes,Better regional language understanding,"22-30, Dhaka"
65,Student,University,English,Phone,AI and jobs,3,4,A bit confusing on specific government policies.,No,Make it faster,"20-25, Rangpur"
66,Student,University,Both,Phone,What AI is,3,3,,No,Add voice input in Bengali,"20-25, Rangpur"
67,IT Professional,Friend or family,Both,Tablet,What AI is,4,3,,Maybe,Make it faster,"41-50, Dhaka"
68,Student,LinkedIn,Both,Laptop or desktop,AI and jobs,4,3,,Yes,Offline support through SMS,"18-24, Cumilla"
69,Small Business Owner,Facebook/WhatsApp,Bengali,Phone,Something else (How to grow business),4,3,A bit confusing on specific government policies.,Yes,Make it faster,"50+, Mymensingh"
70,BCS Cadre,Friend or family,Both,Phone,AI in government or policy,5,3,A bit confusing on specific government policies.,Yes,Add voice input in Bengali,"46-55, Rangpur"
71,BCS Cadre,Facebook/WhatsApp,Both,Laptop or desktop,AI in government or policy,5,5,"No, it was helpful.",Yes,Make it faster,"36-45, Bogura"
72,Housewife,Friend or family,Bengali,Phone,Something else (Daily life),4,5,,Maybe,Better regional language understanding,"50+, Mymensingh"
73,Small Business Owner,Other,Both,Phone,Something else (Marketing),2,5,Some Bengali phrasing was slightly unnatural.,Maybe,Include more local examples,"50+, Barishal"
74,Small Business Owner,Friend or family,Bengali,Phone,Something else (Marketing),3,3,Missed some local Bangladesh context.,Maybe,Add voice input in Bengali,"36-50, Khulna"
75,Housewife,Friend or family,Bengali,Phone,What AI is,4,3,Could be simpler.,Yes,Offline support through SMS,"36-50, Rajshahi"
76,Housewife,Friend or family,Bengali,Phone,Something else (Education for kids),4,5,Missed some local Bangladesh context.,Yes,Add voice input in Bengali,"25-35, Cumilla"
77,Small Business Owner,Friend or family,Bengali,Tablet,What AI is,3,4,,Maybe,Offline support through SMS,"50+, Mymensingh"
78,Student,University,Both,Phone,AI and jobs,4,3,Missed some local Bangladesh context.,Yes,Help with specific university subjects,"19-23, Rangpur"
79,IT Professional,Friend or family,English,Laptop or desktop,Something else (Code generation),3,2,Missed some local Bangladesh context.,Yes,API access,"41-50, Dhaka"
80,IT Professional,Other,English,Laptop or desktop,Something else (Code generation),3,4,Missed some local Bangladesh context.,Yes,More technical depth,"31-40, Dhaka"
81,Banker,Friend or family,Both,Laptop or desktop,AI and jobs,5,4,A bit confusing on specific government policies.,Yes,Offline support through SMS,"36-45, Sylhet"
82,Student,Facebook/WhatsApp,Both,Phone,AI and jobs,4,5,Could be simpler.,Yes,Add voice input in Bengali,"19-23, Khulna"
83,IT Professional,Facebook/WhatsApp,Both,Phone,Something else (Code generation),5,4,Missed some local Bangladesh context.,Yes,Better regional language understanding,"31-40, Dhaka"
84,Banker,LinkedIn,Both,Phone,Something else (Banking automation),5,4,,Yes,Include more local examples,"36-45, Sylhet"
85,Housewife,Friend or family,Bengali,Phone,Something else (Education for kids),5,4,,Yes,Make it faster,"36-50, Dhaka"
86,Student,University,English,Phone,Something else (Scholarships/Studies),4,5,Could be simpler.,Maybe,Make it faster,"20-25, Barishal"
87,Banker,Other,Both,Laptop or desktop,AI and jobs,4,3,,Maybe,Make it faster,"25-35, Dhaka"
88,BCS Cadre,Facebook/WhatsApp,English,Phone,AI in government or policy,3,4,,No,Make it faster,"36-45, Khulna"
89,Housewife,Facebook/WhatsApp,Both,Phone,What AI is,5,5,All good.,Yes,Include more local examples,"50+, Chattogram"
90,Small Business Owner,Facebook/WhatsApp,Bengali,Phone,Something else (How to grow business),2,5,Did not fully grasp the regional context.,Maybe,Add voice input in Bengali,"50+, Rajshahi"
91,BCS Cadre,LinkedIn,Bengali,Laptop or desktop,AI in government or policy,4,4,A bit confusing on specific government policies.,Yes,Ensure strict data privacy,"28-35, Dhaka"
92,IT Professional,LinkedIn,English,Laptop or desktop,AI in government or policy,4,3,A bit confusing on specific government policies.,Yes,Citations for claims,"22-30, Dhaka"
93,BCS Cadre,LinkedIn,Bengali,Laptop or desktop,AI in government or policy,5,5,,Yes,Add voice input in Bengali,"28-35, Mymensingh"
94,Housewife,Other,Bengali,Phone,Something else (Daily life),4,5,,Yes,Better regional language understanding,"36-50, Rajshahi"
95,BCS Cadre,LinkedIn,English,Tablet,AI in government or policy,4,5,Could be simpler.,Yes,Offline support through SMS,"46-55, Khulna"
96,Housewife,Facebook/WhatsApp,Bengali,Phone,What AI is,4,4,,Maybe,Include more local examples,"50+, Rangpur"
97,Student,University,Both,Phone,AI and jobs,4,5,Could be simpler.,Maybe,Better regional language understanding,"19-23, Dhaka"
98,Student,University,Both,Phone,AI and jobs,4,3,A bit confusing on specific government policies.,Yes,Include more local examples,"18-24, Dhaka"
99,BCS Cadre,Other,Both,Laptop or desktop,What AI is,3,4,,Yes,Ensure strict data privacy,"46-55, Cumilla"
100,Student,Facebook/WhatsApp,English,Phone,What AI is,3,4,Could be simpler.,Maybe,Include more local examples,"19-23, Rajshahi"
101,Small Business Owner,Friend or family,Bengali,Phone,What AI is,2,4,Did not fully grasp the regional context.,Yes,Add voice input in Bengali,"36-50, Chattogram"
102,BCS Cadre,LinkedIn,Bengali,Phone,AI in government or policy,5,4,,Yes,Integrate directly with MOPA guidelines,"36-45, Bogura"
103,Student,University,Bengali,Phone,AI and jobs,4,5,,Yes,Help with specific university subjects,"18-24, Rangpur"
104,Housewife,Facebook/WhatsApp,Bengali,Phone,What AI is,3,4,A bit confusing on specific government policies.,Yes,Include more local examples,"50+, Bogura"
105,Housewife,Facebook/WhatsApp,Bengali,Tablet,What AI is,4,5,,Yes,Offline support through SMS,"36-50, Cumilla"
106,Student,Facebook/WhatsApp,Both,Phone,What AI is,4,3,Missed some local Bangladesh context.,Yes,Information on scholarships,"18-24, Dhaka"
107,Housewife,Friend or family,Bengali,Phone,Something else (Daily life),4,5,Could be simpler.,Maybe,Offline support through SMS,"25-35, Barishal"
108,Small Business Owner,Facebook/WhatsApp,Bengali,Phone,Something else (Marketing),4,4,Could be simpler.,Maybe,Add voice input in Bengali,"25-35, Bogura"
109,Housewife,Facebook/WhatsApp,Bengali,Phone,Something else (Education for kids),4,5,A bit confusing on specific government policies.,Yes,Make it faster,"25-35, Cumilla"
110,Banker,Facebook/WhatsApp,English,Laptop or desktop,Something else (Banking automation),5,4,Missed some local Bangladesh context.,Yes,Include more local examples,"36-45, Dhaka"
111,Banker,Facebook/WhatsApp,English,Laptop or desktop,AI in government or policy,4,5,,Yes,Offline support through SMS,"36-45, Chattogram"
112,BCS Cadre,Friend or family,English,Phone,AI in government or policy,3,5,A bit confusing on specific government policies.,No,Integrate directly with MOPA guidelines,"36-45, Bogura"
113,Housewife,Facebook/WhatsApp,Bengali,Phone,Something else (Daily life),4,4,,Maybe,Add voice input in Bengali,"25-35, Rangpur"
114,Student,University,English,Phone,What AI is,4,5,,Yes,Make it faster,"18-24, Chattogram"
115,IT Professional,Other,English,Laptop or desktop,AI and jobs,3,3,A bit confusing on specific government policies.,No,Add voice input in Bengali,"22-30, Dhaka"
116,Small Business Owner,Friend or family,Bengali,Phone,Something else (Marketing),5,4,Missed some local Bangladesh context.,Maybe,Make it faster,"25-35, Khulna"
117,Small Business Owner,Friend or family,Bengali,Phone,Something else (Marketing),3,5,A bit confusing on specific government policies.,Maybe,Better regional language understanding,"25-35, Sylhet"
118,Small Business Owner,Facebook/WhatsApp,Bengali,Phone,Something else (How to grow business),4,3,Missed some local Bangladesh context.,Yes,Add voice input in Bengali,"25-35, Barishal"
119,Banker,Friend or family,English,Laptop or desktop,AI and jobs,3,2,,No,Make it faster,"36-45, Dhaka"
120,Student,Friend or family,Bengali,Laptop or desktop,Something else (Scholarships/Studies),5,3,A bit confusing on specific government policies.,Yes,Help with specific university subjects,"20-25, Rajshahi"
121,Small Business Owner,Facebook/WhatsApp,Bengali,Phone,Something else (How to grow business),5,3,,Yes,Make it faster,"50+, Cumilla"
122,Banker,LinkedIn,Both,Laptop or desktop,AI and jobs,4,4,,Yes,Better regional language understanding,"46-55, Chattogram"
123,Housewife,Facebook/WhatsApp,Bengali,Phone,What AI is,3,5,Could be simpler.,Maybe,Add voice input in Bengali,"36-50, Dhaka"
124,Banker,LinkedIn,Both,Phone,AI and jobs,5,2,A bit confusing on specific government policies.,Yes,Better regional language understanding,"36-45, Dhaka"
125,Small Business Owner,Facebook/WhatsApp,Bengali,Phone,Something else (How to grow business),3,5,Missed some local Bangladesh context.,No,Offline support through SMS,"50+, Dhaka"
126,Small Business Owner,Friend or family,Bengali,Phone,Something else (How to grow business),3,3,,No,Offline support through SMS,"50+, Sylhet"
127,BCS Cadre,Friend or family,Both,Tablet,AI in government or policy,4,3,Missed some local Bangladesh context.,Maybe,Better regional language understanding,"46-55, Rajshahi"
128,Small Business Owner,Friend or family,Bengali,Phone,What AI is,5,4,,Yes,Better regional language understanding,"25-35, Barishal"
129,Banker,Facebook/WhatsApp,Both,Laptop or desktop,AI in government or policy,5,3,,Yes,Add voice input in Bengali,"36-45, Dhaka"
130,Housewife,Facebook/WhatsApp,Bengali,Tablet,Something else (Education for kids),4,4,Missed some local Bangladesh context.,Yes,Offline support through SMS,"25-35, Rajshahi"
131,Student,Friend or family,Both,Phone,AI and jobs,5,5,,Yes,Information on scholarships,"18-24, Cumilla"
132,Banker,Facebook/WhatsApp,Both,Phone,AI and jobs,3,4,,Maybe,Data on Bangladesh Bank regulations,"46-55, Dhaka"
133,IT Professional,LinkedIn,English,Laptop or desktop,Something else (Code generation),3,2,Missed some local Bangladesh context.,Maybe,Better regional language understanding,"41-50, Dhaka"
134,Small Business Owner,Facebook/WhatsApp,Bengali,Phone,What AI is,4,5,,Yes,Provide business advice in simple Bangla,"50+, Barishal"
135,Banker,Facebook/WhatsApp,English,Laptop or desktop,AI in government or policy,3,4,,Maybe,Data on Bangladesh Bank regulations,"25-35, Dhaka"
136,Student,University,Both,Phone,AI and jobs,5,4,Could be simpler.,Yes,Better regional language understanding,"19-23, Dhaka"
137,Banker,LinkedIn,Bengali,Phone,AI in government or policy,5,4,A bit confusing on specific government policies.,Yes,Offline support through SMS,"46-55, Dhaka"
138,Student,Facebook/WhatsApp,English,Laptop or desktop,Something else (Scholarships/Studies),5,3,,Yes,Make it faster,"20-25, Cumilla"
139,Student,Facebook/WhatsApp,Both,Phone,What AI is,5,3,,Maybe,Make it faster,"18-24, Rangpur"
140,Small Business Owner,Facebook/WhatsApp,Bengali,Phone,What AI is,3,5,,No,Offline support through SMS,"50+, Bogura"
141,Student,LinkedIn,Both,Phone,What AI is,5,4,,Yes,Add voice input in Bengali,"19-23, Mymensingh"
142,Small Business Owner,Friend or family,Bengali,Phone,Something else (How to grow business),4,5,,Maybe,Make it faster,"50+, Bogura"
143,IT Professional,LinkedIn,Both,Laptop or desktop,Something else (Code generation),4,2,Could be simpler.,Yes,Add voice input in Bengali,"31-40, Dhaka"
144,Student,University,Both,Laptop or desktop,AI and jobs,5,5,,Yes,Make it faster,"20-25, Mymensingh"
145,Small Business Owner,Facebook/WhatsApp,Bengali,Phone,What AI is,2,3,Did not fully grasp the regional context.,Maybe,Add voice input in Bengali,"25-35, Khulna"
146,Small Business Owner,Facebook/WhatsApp,Bengali,Phone,Something else (How to grow business),5,5,"Nothing, it was very clear.",Maybe,Provide business advice in simple Bangla,"36-50, Rangpur"
147,Student,Facebook/WhatsApp,Both,Phone,AI and jobs,4,5,,Yes,Make it faster,"19-23, Rajshahi"
148,Small Business Owner,Facebook/WhatsApp,Both,Phone,Something else (How to grow business),4,4,A bit confusing on specific government policies.,Yes,Better regional language understanding,"25-35, Dhaka"
149,Small Business Owner,Other,Bengali,Phone,Something else (How to grow business),3,3,A bit confusing on specific government policies.,Maybe,Include more local examples,"50+, Dhaka"
150,BCS Cadre,Facebook/WhatsApp,Both,Phone,AI in government or policy,5,4,,Yes,Add voice input in Bengali,"46-55, Sylhet"
151,Student,University,Both,Phone,AI and jobs,3,3,,Yes,Offline support through SMS,"19-23, Bogura"
152,Banker,LinkedIn,Both,Laptop or desktop,AI in government or policy,5,3,Could be simpler.,Yes,Include more local examples,"46-55, Dhaka"
153,Student,Friend or family,Both,Phone,What AI is,4,3,,Yes,Better regional language understanding,"20-25, Sylhet"
154,Student,Facebook/WhatsApp,Both,Laptop or desktop,What AI is,5,4,,Yes,Help with specific university subjects,"18-24, Cumilla"
155,IT Professional,LinkedIn,English,Laptop or desktop,Something else (Code generation),4,2,,Yes,Offline support through SMS,"31-40, Dhaka"
156,BCS Cadre,Friend or family,English,Phone,AI in government or policy,3,5,A bit confusing on specific government policies.,No,Ensure strict data privacy,"36-45, Sylhet"
157,Student,University,Both,Phone,What AI is,4,5,Missed some local Bangladesh context.,Yes,Better regional language understanding,"19-23, Cumilla"
158,Small Business Owner,Friend or family,Bengali,Phone,Something else (How to grow business),5,4,,Yes,Include loan information or SME resources,"25-35, Chattogram"
159,BCS Cadre,Facebook/WhatsApp,Both,Phone,AI in government or policy,5,4,A bit confusing on specific government policies.,Yes,Offline support through SMS,"46-55, Cumilla"
160,Student,Facebook/WhatsApp,Bengali,Phone,What AI is,5,4,,Yes,Include more local examples,"20-25, Khulna"
161,Banker,Facebook/WhatsApp,Both,Laptop or desktop,AI and jobs,4,3,,Yes,Include more local examples,"46-55, Chattogram"
162,Housewife,Friend or family,Bengali,Phone,What AI is,4,5,,Maybe,Better regional language understanding,"50+, Khulna"
163,BCS Cadre,Facebook/WhatsApp,Both,Phone,AI and jobs,4,3,Missed some local Bangladesh context.,Yes,Make it faster,"28-35, Cumilla"
164,Student,University,English,Phone,What AI is,3,5,Could be simpler.,No,Information on scholarships,"19-23, Barishal"
165,BCS Cadre,Friend or family,Both,Phone,What AI is,4,5,A bit confusing on specific government policies.,Yes,Better regional language understanding,"46-55, Chattogram"
166,IT Professional,LinkedIn,English,Laptop or desktop,Something else (Code generation),4,4,,Yes,Add voice input in Bengali,"22-30, Dhaka"
167,Student,University,Both,Laptop or desktop,What AI is,4,5,Could be simpler.,Yes,Make it faster,"19-23, Khulna"
168,Student,LinkedIn,Both,Phone,Something else (Scholarships/Studies),5,4,Missed some local Bangladesh context.,Yes,Offline support through SMS,"19-23, Chattogram"
169,IT Professional,LinkedIn,Both,Laptop or desktop,Something else (Code generation),3,3,,Maybe,Offline support through SMS,"31-40, Dhaka"
170,Banker,LinkedIn,Both,Laptop or desktop,AI in government or policy,4,5,,Yes,Offline support through SMS,"25-35, Dhaka"
171,Student,University,Both,Phone,What AI is,4,3,,Yes,Add voice input in Bengali,"18-24, Chattogram"
172,Banker,LinkedIn,English,Laptop or desktop,Something else (Banking automation),4,5,,Yes,Include more local examples,"36-45, Dhaka"
173,IT Professional,LinkedIn,Both,Laptop or desktop,AI and jobs,4,4,Missed some local Bangladesh context.,Yes,More technical depth,"31-40, Dhaka"
174,Banker,LinkedIn,Both,Phone,AI and jobs,5,4,Missed some local Bangladesh context.,Yes,Data on Bangladesh Bank regulations,"46-55, Dhaka"
175,Banker,Facebook/WhatsApp,English,Laptop or desktop,AI in government or policy,5,3,Could be simpler.,Yes,Better regional language understanding,"36-45, Dhaka"
176,Banker,Facebook/WhatsApp,English,Laptop or desktop,Something else (Banking automation),5,4,,Maybe,Include more local examples,"25-35, Chattogram"
177,BCS Cadre,Facebook/WhatsApp,English,Phone,AI in government or policy,3,4,A bit confusing on specific government policies.,Maybe,Ensure strict data privacy,"28-35, Mymensingh"
178,Banker,Friend or family,English,Laptop or desktop,Something else (Banking automation),5,5,"Nothing, it was very clear.",Maybe,More accurate financial terminology in Bengali,"46-55, Dhaka"
179,Banker,LinkedIn,Both,Phone,Something else (Banking automation),4,4,Could be simpler.,Yes,Data on Bangladesh Bank regulations,"46-55, Dhaka"
180,BCS Cadre,LinkedIn,English,Phone,AI and jobs,3,3,,Maybe,Offline support through SMS,"36-45, Mymensingh"
181,BCS Cadre,LinkedIn,English,Laptop or desktop,What AI is,5,5,,Maybe,Integrate directly with MOPA guidelines,"46-55, Khulna"
182,Banker,Other,Both,Laptop or desktop,AI and jobs,4,4,Could be simpler.,Yes,Better regional language understanding,"46-55, Dhaka"
183,BCS Cadre,LinkedIn,Both,Phone,AI in government or policy,4,3,,Maybe,Offline support through SMS,"28-35, Rajshahi"
184,Small Business Owner,Facebook/WhatsApp,Bengali,Phone,Something else (How to grow business),2,4,Some Bengali phrasing was slightly unnatural.,No,Make it faster,"36-50, Rajshahi"
185,IT Professional,LinkedIn,English,Laptop or desktop,AI and jobs,4,2,Missed some local Bangladesh context.,Yes,Add voice input in Bengali,"22-30, Dhaka"
186,Banker,LinkedIn,English,Laptop or desktop,AI and jobs,3,2,,No,Add voice input in Bengali,"25-35, Dhaka"
187,BCS Cadre,Other,Bengali,Phone,AI in government or policy,5,5,"Nothing, it was very clear.",Yes,Offline support through SMS,"36-45, Cumilla"
188,Student,Facebook/WhatsApp,Both,Phone,Something else (Scholarships/Studies),4,5,A bit confusing on specific government policies.,Yes,Include more local examples,"18-24, Rajshahi"
189,Small Business Owner,Facebook/WhatsApp,Bengali,Phone,Something else (How to grow business),3,5,Missed some local Bangladesh context.,Maybe,Better regional language understanding,"50+, Sylhet"
190,Banker,Facebook/WhatsApp,Both,Laptop or desktop,Something else (Banking automation),3,5,Missed some local Bangladesh context.,No,More accurate financial terminology in Bengali,"36-45, Dhaka"
191,IT Professional,Facebook/WhatsApp,English,Laptop or desktop,AI and jobs,4,4,,Maybe,Offline support through SMS,"22-30, Chattogram"
192,BCS Cadre,Facebook/WhatsApp,Bengali,Phone,AI in government or policy,4,3,Could be simpler.,Yes,Offline support through SMS,"46-55, Sylhet"
193,BCS Cadre,Facebook/WhatsApp,Both,Phone,AI in government or policy,4,4,Missed some local Bangladesh context.,Maybe,Make it faster,"46-55, Chattogram"
194,Small Business Owner,Facebook/WhatsApp,Bengali,Phone,Something else (How to grow business),2,5,Some Bengali phrasing was slightly unnatural.,Maybe,Provide business advice in simple Bangla,"25-35, Cumilla"
195,Banker,LinkedIn,English,Phone,AI in government or policy,4,5,Could be simpler.,Yes,Include more local examples,"36-45, Dhaka"
196,Small Business Owner,Facebook/WhatsApp,Bengali,Phone,Something else (How to grow business),5,3,,Yes,Provide business advice in simple Bangla,"50+, Rangpur"
197,Banker,Facebook/WhatsApp,English,Phone,AI in government or policy,5,5,All good.,Yes,Include more local examples,"25-35, Dhaka"
198,Student,Facebook/WhatsApp,Bengali,Laptop or desktop,AI and jobs,3,3,Missed some local Bangladesh context.,Yes,Better regional language understanding,"19-23, Mymensingh"
